S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
11,IITM,Postinc,,"Postinc is the online designer freelancing community which is the one stop destination for all who either want to get
design/UX/UI related work done from someone or just showcase their art to the audience. ",Technology,Software & Computer Services,Software and Internet Services,Social Platforms,B2B2C,Design platform,"Interior designing
solutions",,,,Business Plan,DevOps,,Connect to Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,IITM,Memory increasing mobile cover(MIMC),,MIMC is used to increase the data storage capacity of the phone(including IPhones ).,Technology,Software & Computer Services,Software and Internet Services,Not required,B2C,Software solutions to increase data storage,Data storage,,,,Business Plan,Cloud Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IITM,Ruupya.com,,"The objective is to
assist the assessees in e-filing of Income Tax, GST and provide assistance
like financial advisory, registration under various acts.",Financials,Financial services,Fin-Tech and Payments,Not required,B2C,Income tax filing,,,,,Business Plan,Investment advisory and consultancy and financial consumer services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,IITM,Occasion delight,,Occasion delight is to provide the customers with a clean self sustained and well maintained banquets or restaurant halls with a fine catering service at one click in a reasonable rate.,Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2C,Restaurant services,,,,,Business Plan,Customer service for business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,IITM,Agragian,,The basic idea is to combine the effect of greenhouse with urban farming and increase production.,Technology,Technology Hardware & Equipment,Technology,Not required,B2B,Technology to agriculture,,,,,Business Plan,Outsourced and Shared technolgy services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,IITM,Foldable Houses,,Innovative rapid housing solution and Immediate response shelter during disaster.,Industrials,Construction and materials,Consumer Products and Services,Not required,B2C,Shelter during disasters,Slum rehabilitation,,,,Business Plan,Furnishings & Home Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,IITM,Bacteria,,Provides high quality diagnostic tests and medicines at low cost.,Healthcare,Healthcare,Health-Tech,Not required,B2C,Diagnose diseases,,,,,Business Plan,Diagnostics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,IITM,Spandan,,"It designs Electrolarynx,a medical device which enables the larynx cancer affected patients who have lost their voice box to produce clear speech.",Healthcare,Healthcare,Health-Tech,Not required,B2C,Medical device for larynx cancer,,,,,Business Plan,Medical Equipment and Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,IITM,Aviatus,,It designs a platform which helps one learn something new and also allow them to get in touch with experts.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,24 hour doubt support,,,,,Business Plan,Online or other forms of student support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,IITM,Steal Jobs,,The firm provides internships and skill based training to the students and freshers .,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Provides Intertnships,,,,,Business Plan,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,IITM,POP UP,,Works on obtaining licenses for the respective series and produce merchandise of the Anime series in India itself.,Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Low price of anime series.,,,,,,"Movies, Music and Video Games",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,IITM,Tripmate,,"It’s a platform for the local travel tourist guides, tourist package providers and the travellers.",Consumer_services,Travel and Leisure,Consumer Products and Services,Not required,B2C,Tourist guide,Travel planner,,,,Business Plan,Travel & Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,IITM,Life Saver,,The platform focuses on focuses on improving emergency medical services using existing and new technology.,Healthcare,Healthcare,Health-Tech,,B2C,First aid and emergency medical services,Providing employment,,,,Business Plan,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,IITM,Cool Inc,,It is a platform that focusses on use of renewable energy while helping the farmers save their produce and not compromise on their profits.,Technology,Technology Hardware & Equipment,Clean Technology,,B2C,Food and agro products,,,,,Business Plan,Renewable energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,IITM,BeBello,,"BeBello (app) would suggest you the best suitable hairstyles, clothing and fitness routines required.",Technology,Software & Computer Services,Internet marketplace and eCommerce,,B2C,Fashion,Mobile app,,,,Business Plan,Fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IITM,EMS- Employee Mapping Scheme,,The Employee Mapping Scheme is an interface between the unemployed people and the Potential hiring firms and households who need people for household jobs.,Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2B2C,Employment opportuniy,,,,,Business Plan,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,IITM,Impromptu,,Impromptu is an application that will help make quick decisions while planning out a meetup taking eveyrone's opinion into consideration.,Consumer_services,Travel and Leisure,Hyperlocal and Logistics,Not required,B2C,Plans meetup,,,,,, Local trip planners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,IITM,INNOVcrats,,It is a consumer and farmer friendly application that helps to improve the field of agriculture.,Technology,Technology Hardware & Equipment,Technology,,B2B,Technology to agriculture,,,,,Business Plan,Outsourced and Shared technolgy services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,IITM,Sustainable agriculture technologies,,A platform that tries to make agriculture sustainable by aggregating and optimizing the produce and having their own market place for selling the goods.,Technology,Technology Hardware & Equipment,Technology,,B2B,Food and agro products,Sustainable agriculture,,,,Business Plan,Outsourced and Shared technolgy services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IITM,Yelo,,"A platform which connect two people on the same flight, one who has extra luggage and the other who has unused luggage space and is also used for delivery services.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Connecting flight passengers,,,,,Business Plan,Transportation Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,IITM,Karm Kaa Fal,,It is a platform for finding jobs without involvement of brokers or middlemen.,Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2B2C,Employment opportuniy,,,,,Business Plan,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IITM,Bairaavo,,A site that plans and organizes trips by making it problem free for the users.,Consumer_services,Travel and Leisure,Consumer Products and Services,Not required,B2C,Travel planner,,,,,Business Plan,Travel & Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,IITM,Closer,,It is an aggregator for dating services like Tinder and is also used in planning trips for married people.,Consumer_services,Travel and Leisure,Consumer Products and Services,,B2C,Dating services,Travel planner,,,,Business Plan,Travel & Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,IITM,Elegance,,"It gets orders from customers and tries to provide them a website ,specific to their business and costs way lower than what it might cost them in their country.",Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2B,Employment opportuniy,,,,,Business Plan,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,IITM,HELMsafe,,A startup looking to provide a safe journey to the biker by designing different type of helmets.,Consumer_goods,automobile and parts,Consumer Products and Services,Not required,B2C,Helmets,Safety products,,,,Business Plan,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,IITM,Katrukol,,Katrukol is an Ed-Tech startup looking forward to bring Innovation in education by collaborating the power of open Source with the technology.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Innovation in education,Skill development,,,,Business Plan,Peer teaching and teaching innovations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,IITM,Plodder,,"Ths software allows you to book food items within the restricted area (that of the Restaurant), using their LAN Network and thus reduces queues at counters.",Technology,Software & Computer Services,Hyperlocal and Logistics,,B2C,Online booking,,,,,Business Plan,Food Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,IITM,Safe,,The basic idea is to provide the first-aid as soon as possible and save victim’s life using some sophisticated and economic innovations made.,Healthcare,Healthcare,Health-Tech,Not required,B2C,First aid and emergency medical services,,,,,Business Plan,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,IITM,Eventze,,"Platform that helps colleges, companies, and individuals digitize their fests and events,by providing an online interface that can be easily customized as per their needs.",Technology,Software & Computer Services,Consumer Products and Services,Not required,B2C, Event Planner,,,,,Business Plan,Event Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,IITM,Apps for life,,It is an android application which can generate an ideal diet menu based on the characteristics of any user.,Healthcare,Healthcare,Health-Tech,Not required,B2C,Diet Menu,Mobile app,,,,Business Plan,Fitness & Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,IITM,Eco Drives,,"The platform that provides easy , green , affordable and convenient mode of transportation system using Electric bicycle.",Consumer_goods,automobile and parts,Consumer Products and Services,Not required,B2C,Electric bicycle,Environment friendly vehicles,,,,,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,IITM,Involve,,"Involve is an educational startup, which focuses on providing quality education and “Motivation to learn” to underprivileged students, at an affordable cost, through “Peer Teaching”.",Consumer_services,Travel and Leisure,Edu-Tech,Not required,B2C,Education to underpriviliged students,Peer teaching,,,,Incubation, Educational products and Services,,,,,,,,,,"Centre for Social Innovation and Entrepreneurship, IIT Madras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,IITM,NexProtein92,,"Start up that allows the replacement of a basic raw material in the manufacturing of textiles. This is a more cost effective, greener and a better alternative to the existing methodology.",Industrials,Industrial goods and services,Consumer Products and Services,Clean Technology,B2C,Revolutionary process that replaces poly vinyl alcohol,,,,,,Utility services,,Alternate energy sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,IITM,Piratez,,"Piratez is a first ever e-commerce website dedicated for ship supply , it showcases products ranging from bold to food items.",Consumer_goods,Food and beverage,Hyperlocal and Logistics,Not required,B2C,Platform for ship supply,,,,,Prototype,Transportation Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,IITM,Straw Collector,,The main objective is to build a manual straw baler which could collect and compress the straws simultaneously at a affordable price to all small scale farmers in India and around the world.,Consumer_goods,Food and beverage,Consumer Products and Services,Not required,B2B,Food and agro products,,,,,,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,IITM,Swiftcarriage,,They provide the restaurants and households with cheaper and good quality vegetables and fruits by connecting them directly to wholesalers.,Consumer_services,Retail,Hyperlocal and Logistics,,B2B2C,Wholesale market,,,,,, Food Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,IITM,Yuj,,The “Yuj” platform aims to be the one stop solution for all automobile service needs.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Automobile Service,,,,,,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,IITM,Bijlee Boqx,,A simple solution based on PV technology and supported by information communication technology (ICT) to provide energy as a serviceto the Base of Pyramid (BoP)consumers.,Utilities,Utilities,Consumer Products and Services,Not required,B2C,PV technology products,,,,,,Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,IITM,Detect Technologies,,DeTect Technologies has developed two products that can completely solve problems due to leaks.,Technology,Technology Hardware & Equipment,Industrial and Business Products and Services,Not required,B2B,Leaks detection,,,,,,Engineering Consultancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,IITM,Edocto,,The platform is to a design a portable device which can connect to the internet world and provide a real-time diagnosis of health of an individual.,Healthcare,Healthcare,Health-Tech,Not required,B2C,Portable medical device,,,,,,Medical Equipment and Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,IITM,Fititout,,The platform that develops a standing and stair climbing wheel chair at 20% of cost of a standard wheelchair.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Wheel chairs,,,,,Business Plan,Specialized Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,IITM,Fixodo Solutions,,Fixodo is a web/app based technology business offering trusted experts for reliable domestic and professional service needs.,Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2B,Employment opportuniy,,,Chennai,Tamil Nadu,,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,IITM,H.O.P.E,,H.O.P.E tries to remove hurdles that students face in the current education system by innovations like an OMR pen for Exams.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,OMR Pens,Educational,,,,Incubation,Stationary supplies,,,,,,,,,,IIM-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,IITM,House of Tutor,,"Providing comprehensive,individually focused learning that prepares students of all ages for academic and life success, based upon their unique needs and goals .",Technology,Software & Computer Services,Edu-Tech,Not required,B2C,24 hour doubt support,,,,,,Online or other forms of student support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,IITM,Maximl Labs,,The start-up builds an intelligent software integrated with a smart network of devices which enable industries to gain complete control over ground operations and complex processes.,Technology,Software & Computer Services,Industrial and Business Products and Services,Not required,B2C,Software integrated with smart devices,,,Chennai,Tamil Nadu,Incubation,Engineering Consultancy,,,,,,,,,,IIT-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,IITM,Orbuculum,,"Orbuculum serves as a high throughput, cost effective, fast, accurate process to diagnose and predict diseases.",Healthcare,Healthcare,Health-Tech,Not required,B2C,Diagnose diseases,,,,,,Diagnostics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,IITM,Team Dronix,,"The start-up provides end to end aerial solutions such as Aerial Mapping, Aerial Surveying, Aerial Inspections, Monitoring and Delivery for real time applications using Unmanned Aerial Vehicles.",Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Skill development,,,,,Incubation,Placement and Employment related services,,,,,,,,,,Anna University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,IITM,Aavrtti,,Aavrtti designs and develops an indigenous radar for ground surveying and wall inspection application.,Technology,Software & Computer Services,Real Estate,Not required,B2C,Ground surveying,,,,,,Ground surveying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,IITM,Agasse,,It produces an alternative to air conditioners which  will cost less money and electricity.,Technology,Technology Hardware & Equipment,Consumer Products and Services,Not required,B2C,Ventilation system,,,,,,Specialized Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,IITM,Arsam,,The platform aims to create a solar water heater with automatic tracking and CuO nano-particles coated absorber.,Utilities,Utilities,Clean Technology,,B2C,Renewable energy source,Water heating,,,,,Solar energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,IITM,Attitude,,Start up that aims to develop the retail sector by providing better customer service using technology.,Consumer_services,Retail,Hyperlocal and Logistics,Not required,B2C,Queue optimisation,,,,,,Queue Optimisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,IITM,Dava Order,,It is an application based ordering platform which a retailer can use to avoid hassles associated with current system. They act as mediators between retailers and distributors.,Consumer_services,Retail,Internet marketplace and eCommerce,Not required,B2B2C,Mediators between retailers and distributors,,,,,,Marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,IITM,Digitophile Media Solution,,It is a one-stop platform for connecting Vloggers on YOUTUBE with brands and PR agencies which are always in search of relevant content creators.,Consumer_services,Media,Social Platforms,,B2C,Connects Vloggers on youtube with brands,,,,,,Connect to Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,IITM,Dreaming Leaf,,Dreaming Leaf Co. has developed a low-cost UV water filter which requires no external supply to operate and has low environmental impact .,Technology,Technology Hardware & Equipment,Consumer Products and Services,,B2C,UV water filter,,,,,,Furnishings & Home Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,IITM,DSV Home Appliances,,The platform works on producing home aappliances with low or no consumption of electricity.,Consumer_services,Retail,Consumer Products and Services,Not required,B2C,Reduce power consumption,,,,,Prototype,Home Improvement Retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,IITM,Elit Design Lab,,The start-up breaks the requirements down to its fundamentals and work from the ground up to reach the most efficient design by making it user friendly.,Consumer_goods,automobile and parts,Consumer Products and Services,Not required,B2B2C,User friendly automobiles,,,,,,Automobiles & Auto Parts services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,IITM,Ghost VR,,"GhostVR is an emerging start-up from IIT Madras, which deals in designing and developing a VR/AR headset.",Consumer_goods,personal and household goods,Software and Internet Services,Not required,B2C,Virtual Reality platform,,,,,Incubation,Software services for consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,IITM,Halotherapic System,,It is a platform to cure respiratory diseaes.,Healthcare,Healthcare,Health-Tech,Not required,B2C,Cure respiratory diseases,,,,,,"Clinics, Hospitals, and Health Care Providers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,IITM,HireSolve,,It is a platform which lets company recruit people in a different way.,Industrials,Industrial goods and services,Industrial and Business Products and Services,Not required,B2B,Employment opportuniy,,,,,,Business Training & Employment Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,IITM,Innovation Crew,,"This startup aims at a product, in the form of a fitness band which enables us to identify discrete elements present in a person’s sweat, thus determining the fitness of the person.",Healthcare,Healthcare,Health-Tech,,B2C,Fitness,,,,,,Fitness & Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,IITM,INTerns JOBS,,The startup aims to be a connecting platform between students and employers to secure internships.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Provides Intertnships,,,,,,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,IITM,Itutor,,Itutor builds an educational platform which can provide instant doubt clearing to students from IITians/experts.,Technology,Software & Computer Services,Edu-Tech,Social Platforms,B2C,24 hour doubt support,,,,,,Online or other forms of student support,,Social platforms for Educational sector:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,IITM,Jewlot.com,,"Jewlot.com is a platform for wide variety of fashion jewellery and accessories just for women, with 3000+ designs under our present inventory.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Fashion, Jewellery,,,,Prototype,Fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,IITM,Kitkat,,A startup that recovers heat rejected from condenser of domestic refrigerator and utilizes the rejected heat from condenser for water heating purpose.,Utilities,Utilities,Clean Technology,Not required,B2C,Environment friendly ,Water heating,,,,,Alternate energy sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,IITM,KnoDues,,"A Smartphone App (Link: smarturl.it/KnoDues) that enables users to record expenses, split them with friends, track dues and remind friends for dues.",Financials,Financial services,Fin-Tech and Payments,Not required,B2C,Mobile app payment,Tracks due,,,,,Payments and Wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,IITM,Koady,,Koady is an online website where kids learn to Code. Specially designed for Indian Kids – it aims to create the future coders.,Technology,Software & Computer Services,Edu-Tech,Not required,B2C,Skill development,,,,,Prototype,Placement and Employment related services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,IITM,NextDoor,,This platform aims to move towards products that not only desired for individual consumer but products that can be shared between people using technology.,Technology,Software & Computer Services,Social Platforms,Not required,B2C,Sharing of goods,,,,,Business Plan,Connect People for Sharing Media and Files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,IITM,Mavrk,,The startup plans to develop compact and cost effective pollution monitoring stations by means of which pollution levels across a geographical area is recorded and this data is analyzed by their machine learning algorithm .,Technology,Software & Computer Services,Clean Technology,Not required,B2C,Pollution monitoring stations,,,,,Prototype,Pollution monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,IITM,Massiv,,"Massiv is an interactive content platform , market place for retailers to sell their products.",Consumer_services,Retail,Internet marketplace and eCommerce,,B2C,Online Marketplace,,,,,,Marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
